Application Number,Application Date,Application Type,Address,Object Status Type,Application Status,File Lead,Brief Description,Object Status Date,Ward #,Ward,
D07-12-18-0185,2018-12-11,Site Plan Control,20 HAMILTON Avenue,Agreement Registered - Securities Held,Post Approval,Steve Gauthier,New 8 storey mixed use condo/commercial building,2022-01-04 13:45,Ward 15,KITCHISSIPPI,
D07-16-18-0032,2018-12-11,Plan of Subdivision,936 MARCH Road,Application Reactivated,Active,Lisa Stern,"The City of Ottawa has received a Plan of Subdivision and Zoning By-law Amendment application to permit the development of a subdivision consisting of 455 single-detached homes, 401 townhomes, two parks, a school block, two commercial blocks, a woodlot and a stormwater management pond.",2020-11-17 11:28,Ward 5,WEST CARLETON-MARCH,
D07-12-18-0187,2018-12-12,Site Plan Control,7564 VILLAGE CENTRE Place,Application File Pending,File Pending,Kelly Livingstone,"The City of Ottawa has received an application for Site Plan Control Revision application, to construct a 1 storey, 565 square meter commercial building on the south side of the property. The building will have 5 retail units. 46 parking spaces are proposed to be added. The existing 2 storey commercial building on-site is proposed to remain.",2022-07-04 14:29,Ward 20,OSGOODE,
D07-12-18-0187,2018-12-12,Site Plan Control,7574 VILLAGE CENTRE Place,Application File Pending,File Pending,Kelly Livingstone,"The City of Ottawa has received an application for Site Plan Control Revision application, to construct a 1 storey, 565 square meter commercial building on the south side of the property. The building will have 5 retail units. 46 parking spaces are proposed to be added. The existing 2 storey commercial building on-site is proposed to remain.",2022-07-04 14:29,Ward 20,OSGOODE,
D07-12-18-0187,2018-12-12,Site Plan Control,7586 VILLAGE CENTRE Place,Application File Pending,File Pending,Kelly Livingstone,"The City of Ottawa has received an application for Site Plan Control Revision application, to construct a 1 storey, 565 square meter commercial building on the south side of the property. The building will have 5 retail units. 46 parking spaces are proposed to be added. The existing 2 storey commercial building on-site is proposed to remain.",2022-07-04 14:29,Ward 20,OSGOODE,
D07-12-18-0194,2018-12-18,Site Plan Control,49 IONA Street,Agreement Registered - Securities Held,Post Approval,Steve Gauthier,School additions to the west and north,2020-02-18 12:00,Ward 15,KITCHISSIPPI,
D07-05-18-0007,2018-12-18,Demolition Control,139 BALSAM Street,,Post Approval,John Bernier,The City of Ottawa has received a Demolition Control application to permit the demolition of two buildings. The purpose of the application is allow the owner to prepare the site for redevelopment.,2020-09-14 09:45,Ward 14,SOMERSET,
D07-05-18-0007,2018-12-18,Demolition Control,143 BALSAM Street,,Post Approval,John Bernier,The City of Ottawa has received a Demolition Control application to permit the demolition of two buildings. The purpose of the application is allow the owner to prepare the site for redevelopment.,2020-09-14 09:45,Ward 14,SOMERSET,
D07-05-18-0007,2018-12-18,Demolition Control,20 LARCH Street,,Post Approval,John Bernier,The City of Ottawa has received a Demolition Control application to permit the demolition of two buildings. The purpose of the application is allow the owner to prepare the site for redevelopment.,2020-09-14 09:45,Ward 14,SOMERSET,
D07-16-18-0034,2018-12-21,Plan of Subdivision,3194 JOCKVALE Road,Comment Period in Progress,Active,Melanie Gervais,"The City of Ottawa has received a Draft Plan of Subdivision and Zoning By-Law Amendment by Richcraft Homes for the purpose of developing a mix of residential and commercial blocks with new streets and a public park. 
A Plan of Subdivision is necessary in order to create multiple development blocks, internal streets, and to convey a block to the City of Ottawa for parkland purposes.  

The Zoning By-law Amendment seeks to re-zone the lands from 'Development Reserve' (DR) and 'Mixed- Use Centre' (MC[187] H(20)) to 'Mixed-Use Centre' (MC[xxxx] and MC[xxxy]) and 'Parks and Open Space' (O1), with a site-specific amendments to establish medium density residential and commercial uses.",2019-02-08 09:34,Ward 3,BARRHAVEN WEST,
D02-02-18-0114,2018-12-21,Zoning By-law Amendment,3194 JOCKVALE Road,Comment Period in Progress,Active,Melanie Gervais,The City of Ottawa has received a Draft Plan of Subdivision and Zoning By-Law Amendment by Richcraft Homes for the purpose of developing a mix of residential and commercial blocks with new streets and a public park,2019-02-08 12:23,Ward 3,BARRHAVEN WEST,
D07-12-18-0205,2018-12-24,Site Plan Control,2165 ROBERTSON Road,Application File Pending,File Pending,Colette Gorni,"Permit the development of a one-storey restaurant with associated drive-through as well as a one-storey retail building with associated warehousing, distribution and offices.",2019-02-26 15:58,Ward 8,COLLEGE,
D07-12-18-0205,2018-12-24,Site Plan Control,2165 ROBERTSON Road,Application File Pending,File Pending,Colette Gorni,"Permit the development of a one-storey restaurant with associated drive-through as well as a one-storey retail building with associated warehousing, distribution and offices.",2019-02-26 15:58,Ward 8,COLLEGE,
D07-12-18-0205,2018-12-24,Site Plan Control,2165 ROBERTSON Road,Application File Pending,File Pending,Colette Gorni,"Permit the development of a one-storey restaurant with associated drive-through as well as a one-storey retail building with associated warehousing, distribution and offices.",2019-02-26 15:58,Ward 8,COLLEGE,
D07-04-19-0008,2019-02-05,Plan of Condominium,245 SQUADRON Crescent,Agreement Registered - Final Legal Clearance Given,Post Approval,Jean-Charles Renaud,Establish a common elements condominium for the private road within Block 15 of 4M-1581,2021-12-03 17:03,Ward 13,RIDEAU-ROCKCLIFFE,
D02-02-19-0018,2019-02-07,Zoning By-law Amendment,95 KAYENTA Street,By-law Passed - In Appeal Period,Post Approval,Laurel Mccreight,"Proposal to permit ""place of assembly"" use to allow a private small community centre. Request to also remove any required parking.",2019-05-24 13:55,Ward 6,STITTSVILLE,
D07-16-19-0006,2019-02-08,Plan of Subdivision,3317 NAVAN Road,Application File Pending,File Pending,Stephen Belan,proposed residential dwellings,2019-03-22 16:52,Ward 19,ORLÉANS SOUTH-NAVAN,
D02-02-19-0006,2019-01-18,Zoning By-law Amendment,1531 STITTSVILLE MAIN Street,Application File Pending,File Pending,Stream Shen,The City of Ottawa has received a concurrent Zoning By-Law Amendment and Site Plan Control application to permit the development of a four story mixed-used building fronting Stittsville Main Street and seven townhouse units at the back of the site.,2019-03-15 08:34,Ward 6,STITTSVILLE,
D07-04-19-0004,2019-01-18,Plan of Condominium,100 ATTWELL Private,Application Reactivated,Active,Laurel Mccreight,"14 blocks of townhomes, 60 units total on private street.",2019-06-05 15:28,Ward 4,KANATA NORTH,
D07-16-19-0004,2019-01-23,Plan of Subdivision,195 MEANDERING BROOK Drive,Agreement Registered - Securities Held,Post Approval,Wendy Tse,Draft Plan of Subdivision to create a parcel of land not previously part of a plan of subdivision to facilitate the partition of lands and implement the approved site plan,2019-11-28 12:15,Ward 10,GLOUCESTER-SOUTHGATE,
D07-04-19-0005,2019-01-23,Plan of Condominium,195 MEANDERING BROOK Drive,Agreement Registered - Final Legal Clearance Given,Post Approval,Wendy Tse,plan of condominium for the proposed common elements in order to facilitate the partition of lands and implement the approved site plan,2022-01-05 16:05,Ward 10,GLOUCESTER-SOUTHGATE,
D07-16-19-0005,2019-01-28,Plan of Subdivision,3809 BORRISOKANE Road,Agreement Registered - Securities Held,Post Approval,Kelby Lodoen Unseth,"The proposal for the 39.73 hectare site is to create 180 townhouses, 320 single detached dwellings, a stormwater management pond, and a park block.",2021-09-10 10:44,Ward 3,BARRHAVEN WEST,
D02-02-19-0013,2019-01-28,Zoning By-law Amendment,211 LORETTA Avenue,By-law Passed - In Appeal Period,Post Approval,Jean-Charles Renaud,The City of Ottawa has received Zoning Bylaw Amendment and Site Plan Control applications to facilitate the establishment of a fourth unit in the basement of the three-unit dwelling located at 211 Loretta Avenue.,2019-06-27 11:12,Ward 15,KITCHISSIPPI,
D09-04-19-0004,2019-03-15,Ontario Heritage Act,315 CHAPEL Street,Report Completed,Inactive, ,"Landscaping for a patio, samples of fencing and pavers provided electronically",2020-03-26 08:57,Ward 12,RIDEAU-VANIER,
D07-16-19-0009,2019-03-25,Plan of Subdivision,6335 PERTH Street,Application Approved,Post Approval,Cheryl Mcwilliams,"The proposal is to extend and revise the existing draft approved plan of subdivision for the development known as Fox Run in the Village of Richmond Western Development Lands and amend the zoning by-law the changes to the layout and the addition of rear lane townhouses as a permitted use.
The revisions would see the total unit count increase by 21 units to 771, over 220 are registered as part of Phase 1 of the subdivision.  Rear lane townhouses are now proposed north side of Perth with other blocks in that area slated for street townhouses.  Some modifications are also proposed to the local street layout north and south of Perth Street to accommodate the changes.",2019-11-27 11:34,Ward 21,RIDEAU-JOCK,
D07-16-19-0009,2019-03-25,Plan of Subdivision,6350 PERTH Street,Application Approved,Post Approval,Cheryl Mcwilliams,"The proposal is to extend and revise the existing draft approved plan of subdivision for the development known as Fox Run in the Village of Richmond Western Development Lands and amend the zoning by-law the changes to the layout and the addition of rear lane townhouses as a permitted use.
The revisions would see the total unit count increase by 21 units to 771, over 220 are registered as part of Phase 1 of the subdivision.  Rear lane townhouses are now proposed north side of Perth with other blocks in that area slated for street townhouses.  Some modifications are also proposed to the local street layout north and south of Perth Street to accommodate the changes.",2019-11-27 11:34,Ward 21,RIDEAU-JOCK,
D07-16-19-0010,2019-03-28,Plan of Subdivision,4623 SPRATT Road,Application File Pending,File Pending,Tracey Scaramozzino,The City of Ottawa has received a Zoning By-law Amendment and Draft Plan of Subdivision application to  rezone the lands from Development Reserve (DR) to Residential Third Density Subzone Z (R3Z) to develop 2 semi-detached dwellings and 64 townhouse dwellings.,2019-10-24 08:35,Ward 22,RIVERSIDE SOUTH-FINDLAY CREEK,
D07-16-19-0010,2019-03-28,Plan of Subdivision,4623 SPRATT Road,Application File Pending,File Pending,Tracey Scaramozzino,The City of Ottawa has received a Zoning By-law Amendment and Draft Plan of Subdivision application to  rezone the lands from Development Reserve (DR) to Residential Third Density Subzone Z (R3Z) to develop 2 semi-detached dwellings and 64 townhouse dwellings.,2019-10-24 08:35,Ward 22,RIVERSIDE SOUTH-FINDLAY CREEK,
D02-02-19-0031,2019-03-28,Zoning By-law Amendment,70 BEECH Street,Application File Pending,File Pending,Kimberley Baldwin,"To amend the required the rear-yard and side-yard setbacks, rear-yard angular plane, visitor parking space requirements and aisle width provisions for a new six-storey mixed-use building fronting on Beech. The applicant also seeks permission for an enclosed rooftop amenity area not to be included in the overall height of the building.",2019-06-07 14:45,Ward 14,SOMERSET,
D02-02-19-0031,2019-03-28,Zoning By-law Amendment,75 NORMAN Street,Application File Pending,File Pending,Kimberley Baldwin,"To amend the required the rear-yard and side-yard setbacks, rear-yard angular plane, visitor parking space requirements and aisle width provisions for a new six-storey mixed-use building fronting on Beech. The applicant also seeks permission for an enclosed rooftop amenity area not to be included in the overall height of the building.",2019-06-07 14:45,Ward 14,SOMERSET,
D07-12-19-0054,2019-03-28,Site Plan Control,70 BEECH Street,Application File Pending,File Pending,Kimberley Baldwin,"A proposed six-storey mixed use building at 70 Beech Street, with commercial uses on the ground floor and 40 residential units above. The existing dwelling at 75 Norman Street is proposed to be retained, and the detached garage will be demolished to provide five parking spaces for the new building.",2019-06-07 14:48,Ward 14,SOMERSET,
D07-12-19-0054,2019-03-28,Site Plan Control,75 NORMAN Street,Application File Pending,File Pending,Kimberley Baldwin,"A proposed six-storey mixed use building at 70 Beech Street, with commercial uses on the ground floor and 40 residential units above. The existing dwelling at 75 Norman Street is proposed to be retained, and the detached garage will be demolished to provide five parking spaces for the new building.",2019-06-07 14:48,Ward 14,SOMERSET,
D07-16-19-0011,2019-04-02,Plan of Subdivision,3345 BORRISOKANE Road,Comment Period has Ended/Issue Resolution,Active,Melanie Gervais,"The Draft Plan of Subdivision application has been submitted in order to make modifications to the previously draft approved Draft Plan of Subdivision (D07-16-16-0023) in order to accommodate the proposed changes:
- Relocating the detached dwellings which were originally proposed in the southwest portion of the site further north and north west, where Park 2 was previoulsy located
- Relocating Park 2 from the northwest to the southwest location of the site, where the soil was deemed inadequate for homebuilding but suitable for parkland, increasing its size to 3.09 hectares (from 2.61 ha.)
- Increasing the size of the apartment block to 0.93 hectares from 0.76 hectares by extending it to the west
- Modifying the street and pathway networks to reflect the above changes",2019-06-28 13:54,Ward 3,BARRHAVEN WEST,
